state,company_raw,notice_date,n_employees,city,county,layoff_type,source
OR,Mentor Oregon,2021-07-06,177.0,Portland,,Permanent closure,warn_or.json
OR,Thriftbooks - Portland Processing Cente,2021-04-22,70.0,Portland,,Permanent closure,warn_or.json
OR,DSU-Peterbuilt & GMC Inc,2021-04-05,260.0,Portland,,Other,warn_or.json
OR,PERFORMANT,2021-02-26,60.0,Grants Pass,,Reduction,warn_or.json
OR,PERFORMANT,2021-02-26,31.0,Grants Pass,,Reduction,warn_or.json
OR,Simple,2021-01-29,47.0,Portland,,Permanent closure,warn_or.json
OR,Simple,2021-01-29,95.0,Portland,,Permanent closure,warn_or.json
OR,Simple,2021-01-29,1.0,Portland,,Permanent closure,warn_or.json
OR,Simple,2021-01-29,37.0,Portland,,Permanent closure,warn_or.json
OR,azlo,2021-01-29,122.0,Portland,,Permanent closure,warn_or.json
OR,SunPower,2021-01-07,9.0,Hillsboro,,Permanent closure,warn_or.json
OR,SunPower,2021-01-07,172.0,Hillsboro,,Permanent closure,warn_or.json
OR,NPL - Central Point - Grants Pass,2020-12-15,67.0,Grants Pass,,Permanent closure,warn_or.json
OR,Southwest Airlines,2020-12-03,85.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Villasport,2020-11-25,66.0,Beaverton,,Reduction,warn_or.json
OR,Providence,2020-11-16,177.0,Portland,,Other,warn_or.json
OR,Providence,2020-11-16,5.0,Portland,,Reduction,warn_or.json
OR,Elmer's Restaurants,2020-11-13,280.0,Portland,,Temporary Layoff,warn_or.json
OR,Macy's Inc,2020-11-16,83.0,Portland,,Permanent closure,warn_or.json
OR,SYUFY Enterprises - VillaSport,2020-10-23,59.0,Beaverton,,Reduction,warn_or.json
OR,DoubleTree - Hilton Portland,2020-09-30,59.0,Portland,,Reduction,warn_or.json
OR,Boise Cascade - Elgin Plywood Facility,2020-11-16,229.0,Elgin,,Permanent closure,warn_or.json
OR,SP+,2020-09-25,89.0,Portland,,Reduction,warn_or.json
OR,Sodexo - Gresham-Barlow SD,2020-09-17,85.0,Gresham,,Temporary Layoff,warn_or.json
OR,Sodexo - Salem-Keizer SD,2020-09-17,358.0,Salem,,Temporary Layoff,warn_or.json
OR,Sodexo - Medford SD,2020-09-17,111.0,Medford,,Temporary Layoff,warn_or.json
OR,PF Chang's,2020-09-18,75.0,Hillsboro,,Other,warn_or.json
OR,PF Chang's - Eugene,2020-09-18,75.0,Eugene,,Other,warn_or.json
OR,LAGS Medical Center - Portland,2020-09-03,7.0,Portland,,Small Layoff  1 – 10 workers,warn_or.json
OR,LAGS Medical Center - Salem,2020-09-03,4.0,Salem,,Small Layoff  1 – 10 workers,warn_or.json
OR,Bon Appetit,2020-09-01,224.0,Portland,,Other,warn_or.json
OR,Bon Appetit,2020-09-01,170.0,Portland,,Reduction,warn_or.json
OR,Dave & Buster's,2020-09-08,84.0,Happy Valley,,Reduction,warn_or.json
OR,PGE - Boardman,2020-09-01,22.0,Boardman,,Permanent closure,warn_or.json
OR,LAIKA,2020-08-14,50.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,HMSHost,2020-08-11,51.0,Portland,,Reduction,warn_or.json
